year,country,religionCode,population,submitDate
2010,BHM,taogen,93,2011-07-04
2010,BHM,jaingen,0,2011-04-17
1945,CUB,chrstgen,4573565,1946-08-07
1945,CUB,judgen,0,1946-05-19
1945,CUB,islmgen,0,1946-06-07
1945,CUB,budgen,0,1946-12-22
1945,CUB,zorogen,0,1946-12-10
1945,CUB,hindgen,0,1946-02-13
1945,CUB,sikhgen,0,1946-06-20
1945,CUB,shntgen,0,1946-04-01
1945,CUB,taogen,0,1946-02-23
1945,CUB,jaingen,0,1946-07-31
1950,CUB,chrstgen,5184852,1951-06-30
1950,CUB,judgen,0,1951-02-06
1950,CUB,islmgen,0,1951-12-23
1950,CUB,budgen,0,1951-09-07
1950,CUB,zorogen,0,1951-07-29
1950,CUB,hindgen,0,1951-05-10
1950,CUB,sikhgen,0,1951-08-31
1950,CUB,shntgen,0,1951-04-20
1950,CUB,taogen,0,1951-11-16
1950,CUB,jaingen,0,1951-09-11
1955,CUB,chrstgen,5704366,1956-07-28
1955,CUB,judgen,0,1956-02-17
1955,CUB,islmgen,0,1956-11-14
1955,CUB,budgen,0,1956-11-05
1955,CUB,zorogen,0,1956-12-26
1955,CUB,hindgen,0,1956-07-24
1955,CUB,sikhgen,0,1956-04-07
1955,CUB,shntgen,0,1956-05-18
1955,CUB,taogen,0,1956-02-29
1955,CUB,jaingen,0,1956-11-09
1960,CUB,chrstgen,6189000,1961-01-01
1960,CUB,judgen,0,1961-10-23
1960,CUB,islmgen,0,1961-12-11
1960,CUB,budgen,0,1961-02-16
1960,CUB,zorogen,0,1962-01-01
1960,CUB,hindgen,0,1961-04-02
1960,CUB,sikhgen,0,1961-08-08
1960,CUB,shntgen,0,1961-08-16
1960,CUB,taogen,0,1961-07-15
1960,CUB,jaingen,0,1961-07-11
1965,CUB,chrstgen,6225920,1966-04-25
1965,CUB,judgen,0,1966-11-03
1965,CUB,islmgen,0,1966-05-31
1965,CUB,budgen,0,1966-05-16
1965,CUB,zorogen,0,1966-05-24
1965,CUB,hindgen,0,1966-06-25
1965,CUB,sikhgen,0,1966-12-26
1965,CUB,shntgen,0,1966-07-20
1965,CUB,taogen,0,1966-01-09
1965,CUB,jaingen,0,1966-05-08
1970,CUB,chrstgen,6382300,1971-09-04
1970,CUB,judgen,1800,1971-09-11
1970,CUB,islmgen,0,1971-11-05
1970,CUB,budgen,5000,1971-11-23
1970,CUB,zorogen,0,1971-08-13
1970,CUB,hindgen,3000,1971-09-15
1970,CUB,sikhgen,0,1971-07-28
1970,CUB,shntgen,0,1971-10-12
1970,CUB,taogen,0,1971-09-21
1970,CUB,jaingen,0,1971-08-14
1975,CUB,chrstgen,6504238,1976-12-17
1975,CUB,judgen,1800,1976-11-06
1975,CUB,islmgen,1000,1976-06-28
1975,CUB,budgen,5000,1976-03-14
1975,CUB,zorogen,0,1976-03-26
1975,CUB,hindgen,3000,1976-05-12
1975,CUB,sikhgen,0,1976-10-18
1975,CUB,shntgen,0,1976-08-14
1975,CUB,taogen,4000,1976-07-21
1975,CUB,jaingen,0,1976-10-04
1980,CUB,chrstgen,6921580,1981-04-03
1980,CUB,judgen,2200,1981-09-19
1980,CUB,islmgen,0,1981-09-22
1980,CUB,budgen,6000,1981-09-02
1980,CUB,zorogen,0,1981-07-18
1980,CUB,hindgen,0,1981-09-20
1980,CUB,sikhgen,0,1981-01-30
1980,CUB,shntgen,0,1981-03-10
1980,CUB,taogen,0,1981-06-14
1980,CUB,jaingen,0,1981-01-31
1985,CUB,chrstgen,7554920,1986-11-16
1985,CUB,judgen,0,1986-03-24
1985,CUB,islmgen,0,1986-12-09
1985,CUB,budgen,0,1986-04-11
1985,CUB,zorogen,0,1986-01-05
1985,CUB,hindgen,0,1986-05-11
1985,CUB,sikhgen,0,1986-02-24
1985,CUB,shntgen,0,1986-05-03
1985,CUB,taogen,0,1986-12-27
1985,CUB,jaingen,0,1986-02-14
1990,CUB,chrstgen,7680210,1991-02-10
1990,CUB,judgen,1000,1991-08-24
1990,CUB,islmgen,8000,1991-02-09
1990,CUB,budgen,6000,1991-09-07
1990,CUB,zorogen,0,1991-12-20
1990,CUB,hindgen,21000,1991-07-06
1990,CUB,sikhgen,0,1991-04-23
1990,CUB,shntgen,0,1991-05-13
1990,CUB,taogen,20000,1991-04-06
1990,CUB,jaingen,0,1991-03-21
1995,CUB,chrstgen,8524160,1996-08-18
1995,CUB,judgen,1020,1996-02-28
1995,CUB,islmgen,8160,1996-12-07
1995,CUB,budgen,6120,1996-08-15
1995,CUB,zorogen,0,1996-10-30
1995,CUB,hindgen,21420,1996-02-13
1995,CUB,sikhgen,0,1996-12-16
1995,CUB,shntgen,0,1996-10-16
1995,CUB,taogen,20400,1996-05-16
1995,CUB,jaingen,0,1996-07-14
2000,CUB,chrstgen,8100650,2001-02-10
2000,CUB,judgen,500,2001-09-14
2000,CUB,islmgen,8500,2001-07-30
2000,CUB,budgen,0,2001-05-24
2000,CUB,zorogen,0,2001-06-18
2000,CUB,hindgen,0,2001-02-12
2000,CUB,sikhgen,0,2001-01-27
2000,CUB,shntgen,0,2001-07-20
2000,CUB,taogen,0,2001-05-15
2000,CUB,jaingen,0,2001-06-04
2005,CUB,chrstgen,7520095,2006-03-03
2005,CUB,judgen,1200,2006-08-07
2005,CUB,islmgen,7200,2006-09-10
2005,CUB,budgen,0,2006-01-02
2005,CUB,zorogen,0,2006-06-12
2005,CUB,hindgen,11000,2006-07-28
2005,CUB,sikhgen,0,2006-06-18
2005,CUB,shntgen,0,2006-02-20
2005,CUB,taogen,21501,2006-04-23
2005,CUB,jaingen,0,2006-03-08
2010,CUB,chrstgen,7407107,2011-12-26
2010,CUB,judgen,1500,2011-12-12
2010,CUB,islmgen,8000,2011-09-01
2010,CUB,budgen,0,2011-06-01
2010,CUB,zorogen,0,2011-08-05
2010,CUB,hindgen,25000,2011-07-31
2010,CUB,sikhgen,0,2011-02-22
2010,CUB,shntgen,0,2011-03-07
2010,CUB,taogen,0,2011-04-03
2010,CUB,jaingen,0,2011-11-10
1945,HAI,chrstgen,2936500,1946-07-26
1945,HAI,judgen,0,1946-09-05
1945,HAI,islmgen,0,1946-12-29
1945,HAI,budgen,0,1946-01-20
1945,HAI,zorogen,0,1946-01-19
1945,HAI,hindgen,0,1946-02-10
1945,HAI,sikhgen,0,1946-11-06
1945,HAI,shntgen,0,1946-09-07
1945,HAI,taogen,0,1946-09-11
1945,HAI,jaingen,0,1946-11-08
1950,HAI,chrstgen,2944000,1951-03-31
1950,HAI,judgen,0,1951-09-05
1950,HAI,islmgen,0,1951-11-11
1950,HAI,budgen,0,1951-01-24
1950,HAI,zorogen,0,1951-01-19
1950,HAI,hindgen,0,1951-07-29
1950,HAI,sikhgen,0,1951-12-28
1950,HAI,shntgen,0,1951-06-11
1950,HAI,taogen,0,1951-07-07
1950,HAI,jaingen,0,1951-04-09
1955,HAI,chrstgen,3098500,1956-12-06
1955,HAI,judgen,0,1956-09-07
1955,HAI,islmgen,0,1956-01-03
1955,HAI,budgen,0,1956-12-19
1955,HAI,zorogen,0,1956-09-22
1955,HAI,hindgen,0,1956-11-06
1955,HAI,sikhgen,0,1956-06-23
1955,HAI,shntgen,0,1956-09-20
1955,HAI,taogen,0,1956-10-21
1955,HAI,jaingen,0,1956-02-19
1960,HAI,chrstgen,3253000,1961-07-05
1960,HAI,judgen,0,1961-10-20
1960,HAI,islmgen,0,1961-03-23
1960,HAI,budgen,0,1961-08-12
1960,HAI,zorogen,0,1961-03-21
1960,HAI,hindgen,0,1961-11-08
1960,HAI,sikhgen,0,1961-01-05
1960,HAI,shntgen,0,1961-07-18
1960,HAI,taogen,0,1961-09-17
1960,HAI,jaingen,0,1961-01-05
1965,HAI,chrstgen,3742881,1966-07-01
1965,HAI,judgen,0,1966-09-24
1965,HAI,islmgen,0,1966-04-01
1965,HAI,budgen,0,1966-09-11
1965,HAI,zorogen,0,1966-11-19
1965,HAI,hindgen,0,1966-11-27
1965,HAI,sikhgen,0,1966-10-02
1965,HAI,shntgen,0,1966-08-06
1965,HAI,taogen,0,1966-07-12
1965,HAI,jaingen,0,1966-09-03
1970,HAI,chrstgen,4235925,1971-04-08
1970,HAI,judgen,100,1971-08-04
1970,HAI,islmgen,1500,1971-07-12
1970,HAI,budgen,0,1971-03-01
1970,HAI,zorogen,0,1971-05-30
1970,HAI,hindgen,0,1971-10-10
1970,HAI,sikhgen,0,1971-01-11
1970,HAI,shntgen,0,1971-10-08
1970,HAI,taogen,0,1971-09-20
1970,HAI,jaingen,0,1971-12-09
1975,HAI,chrstgen,4553806,1976-02-15
1975,HAI,judgen,100,1976-04-27
1975,HAI,islmgen,1500,1976-08-10
1975,HAI,budgen,0,1976-09-14
1975,HAI,zorogen,0,1976-07-25
1975,HAI,hindgen,0,1976-01-05
1975,HAI,sikhgen,0,1976-06-12
1975,HAI,shntgen,0,1976-05-25
1975,HAI,taogen,0,1976-05-19
1975,HAI,jaingen,0,1976-12-16
1980,HAI,chrstgen,5002500,1981-07-31
1980,HAI,judgen,100,1981-08-24
1980,HAI,islmgen,1700,1981-12-11
1980,HAI,budgen,0,1981-03-25
1980,HAI,zorogen,0,1981-10-22
1980,HAI,hindgen,0,1981-01-18
1980,HAI,sikhgen,0,1981-02-28
1980,HAI,shntgen,0,1981-03-01
1980,HAI,taogen,0,1981-02-21
1980,HAI,jaingen,0,1981-11-04
1985,HAI,chrstgen,5125000,1986-12-03
1985,HAI,judgen,0,1986-06-23
1985,HAI,islmgen,0,1986-10-01
1985,HAI,budgen,0,1986-07-23
1985,HAI,zorogen,0,1986-03-17
1985,HAI,hindgen,0,1986-06-07
1985,HAI,sikhgen,0,1986-02-04
1985,HAI,shntgen,0,1986-05-26
1985,HAI,taogen,0,1986-05-31
1985,HAI,jaingen,0,1986-04-08
1990,HAI,chrstgen,5934500,1991-09-06
1990,HAI,judgen,160,1991-08-01
1990,HAI,islmgen,1660,1991-08-22
1990,HAI,budgen,0,1991-02-01
1990,HAI,zorogen,0,1991-08-07
1990,HAI,hindgen,0,1991-09-24
1990,HAI,sikhgen,0,1991-02-11
1990,HAI,shntgen,0,1991-06-12
1990,HAI,taogen,180,1991-03-08
1990,HAI,jaingen,0,1991-03-23
1995,HAI,chrstgen,6621510,1996-02-21
1995,HAI,judgen,129,1996-04-24
1995,HAI,islmgen,830,1996-11-12
1995,HAI,budgen,0,1996-03-19
1995,HAI,zorogen,0,1996-12-23
1995,HAI,hindgen,0,1996-07-11
1995,HAI,sikhgen,0,1996-06-26
1995,HAI,shntgen,0,1996-10-26
1995,HAI,taogen,90,1996-05-28
1995,HAI,jaingen,0,1996-09-24
2000,HAI,chrstgen,7377600,2001-01-26
2000,HAI,judgen,98,2001-05-30
2000,HAI,islmgen,0,2001-05-29
2000,HAI,budgen,0,2001-12-19
2000,HAI,zorogen,0,2001-06-22
2000,HAI,hindgen,0,2001-09-20
2000,HAI,sikhgen,0,2001-11-30
2000,HAI,shntgen,0,2001-08-18
2000,HAI,taogen,0,2001-09-01
2000,HAI,jaingen,0,2001-10-08
2005,HAI,chrstgen,7998500,2006-04-23
2005,HAI,judgen,500,2006-02-05
2005,HAI,islmgen,2000,2006-08-04
2005,HAI,budgen,0,2006-12-10
2005,HAI,zorogen,0,2006-11-06
2005,HAI,hindgen,0,2006-11-01
2005,HAI,sikhgen,0,2006-06-26
2005,HAI,shntgen,0,2006-09-29
2005,HAI,taogen,0,2006-09-30
2005,HAI,jaingen,0,2006-09-12
2010,HAI,chrstgen,8003882,2011-04-24
2010,HAI,judgen,120,2011-06-29
2010,HAI,islmgen,1750,2011-03-15
2010,HAI,budgen,0,2011-05-26
2010,HAI,zorogen,0,2011-09-04
2010,HAI,hindgen,0,2011-02-06
2010,HAI,sikhgen,0,2011-10-28
2010,HAI,shntgen,0,2011-02-13
2010,HAI,taogen,0,2011-09-15
2010,HAI,jaingen,0,2011-04-28
1945,DOM,chrstgen,1879020,1946-10-30
1945,DOM,judgen,0,1946-04-08
1945,DOM,islmgen,0,1946-08-13
1945,DOM,budgen,0,1946-10-23
1945,DOM,zorogen,0,1946-11-11
1945,DOM,hindgen,0,1946-08-21
1945,DOM,sikhgen,0,1946-06-02
1945,DOM,shntgen,0,1946-01-28
1945,DOM,taogen,0,1946-09-24
1945,DOM,jaingen,0,1946-10-16
1950,DOM,chrstgen,2131914,1951-07-26
1950,DOM,judgen,463,1951-10-20
1950,DOM,islmgen,0,1951-11-16
1950,DOM,budgen,56,1951-09-30
1950,DOM,zorogen,0,1951-07-04
1950,DOM,hindgen,0,1951-12-02
